claim_id,kind,description,source,n,insufficient_n,point_estimate,point_estimate_kind,ci_lower,ci_upper,ci_method,paired_ttest_pvalue,wilcoxon_pvalue,cohens_d,rank_biserial_r
adaptive_stepping_beta_var_shift__homogeneous_chain__adaptive_embedded_rtol1e-05,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=homogeneous_chain, adaptive-minus-uniform (adaptive_embedded_rtol1e-05 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,-0.0030787135520748596,mean_diff,-0.00310211836228765,-0.003031917153873187,BCa,5.7754892034573354e-05,0.25,-75.96720916566504,-1.0
adaptive_stepping_beta_var_shift__homogeneous_chain__adaptive_halfstep_rtol1e-03,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=homogeneous_chain, adaptive-minus-uniform (adaptive_halfstep_rtol1e-03 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.06794899494216788,mean_diff,0.06652989557398703,0.06917685721294342,BCa,0.0001284139871621727,0.25,50.94380472778351,1.0
adaptive_stepping_beta_var_shift__reflection_active__adaptive_embedded_rtol0.0001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=reflection_active, adaptive-minus-uniform (adaptive_embedded_rtol0.0001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0016312433608307215,mean_diff,0.0012869680452932686,0.0018321343587837842,BCa,0.011853570050146625,0.25,5.255655707216817,1.0
adaptive_stepping_beta_var_shift__reflection_active__adaptive_embedded_rtol0.001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=reflection_active, adaptive-minus-uniform (adaptive_embedded_rtol0.001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0017671267349818425,mean_diff,0.0013544108638535723,0.002038450583892404,BCa,0.013796296453210368,0.25,4.864383951530151,1.0
adaptive_stepping_beta_var_shift__reflection_active__adaptive_embedded_rtol0.01,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=reflection_active, adaptive-minus-uniform (adaptive_embedded_rtol0.01 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,-0.00027433800032383715,mean_diff,-0.0006978185221547806,0.00011638377405642775,BCa,0.3643815740522316,0.5,-0.6722512957014588,-0.6666666666666666
adaptive_stepping_beta_var_shift__reflection_active__adaptive_embedded_rtol1e-05,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=reflection_active, adaptive-minus-uniform (adaptive_embedded_rtol1e-05 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0015738468326661852,mean_diff,0.0012006803249396958,0.0017775209801781748,BCa,0.014104325426868241,0.25,4.8098436227599475,1.0
adaptive_stepping_beta_var_shift__reflection_active__adaptive_halfstep_rtol1e-03,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=reflection_active, adaptive-minus-uniform (adaptive_halfstep_rtol1e-03 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.001269081406295632,mean_diff,0.0007581978015330781,0.001527270582517078,BCa,0.03821968122002535,0.25,2.86788372489916,1.0
adaptive_stepping_cost_reduction__bimodal_load__adaptive_embedded_rtol0.0001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=bimodal_load, uniform vs adaptive_embedded_rtol0.0001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.0001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.514018691588785,ratio_of_means,0.514018691588785,0.514018691588785,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__bimodal_load__adaptive_embedded_rtol0.001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=bimodal_load, uniform vs adaptive_embedded_rtol0.001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5140844762408789,ratio_of_means,0.5140796860024646,0.5140870180362894,BCa (paired ratio-of-means),9.296690130546023e-11,0.25,-59879.090435375925,
adaptive_stepping_cost_reduction__bimodal_load__adaptive_embedded_rtol0.01,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=bimodal_load, uniform vs adaptive_embedded_rtol0.01, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.01_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.8144554269311141,ratio_of_means,0.8141743239458253,0.8145962966869058,BCa (paired ratio-of-means),8.656513515998643e-07,0.25,-620.5368616856266,
adaptive_stepping_cost_reduction__bimodal_load__adaptive_embedded_rtol1e-05,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=bimodal_load, uniform vs adaptive_embedded_rtol1e-05, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol1e-05_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.514018691588785,ratio_of_means,0.514018691588785,0.514018691588785,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__bimodal_load__adaptive_halfstep_rtol1e-03,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=bimodal_load, uniform vs adaptive_halfstep_rtol1e-03, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_halfstep_rtol1e-03_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.6320813258519336,ratio_of_means,0.6320619660892358,0.6321116240439796,BCa (paired ratio-of-means),5.2272038527860716e-09,0.25,-7985.546672650413,
adaptive_stepping_cost_reduction__heterogeneous_rho__adaptive_embedded_rtol0.0001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=heterogeneous_rho, uniform vs adaptive_embedded_rtol0.0001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.0001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5194805194805194,ratio_of_means,0.5194805194805194,0.5194805194805194,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__heterogeneous_rho__adaptive_embedded_rtol0.001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=heterogeneous_rho, uniform vs adaptive_embedded_rtol0.001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5194805194805194,ratio_of_means,0.5194805194805194,0.5194805194805194,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__heterogeneous_rho__adaptive_embedded_rtol0.01,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=heterogeneous_rho, uniform vs adaptive_embedded_rtol0.01, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.01_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.9976799556694942,ratio_of_means,0.99759794683821,0.9977265345891523,BCa (paired ratio-of-means),0.0003310769127303302,0.25,-31.722475070682176,
adaptive_stepping_cost_reduction__heterogeneous_rho__adaptive_embedded_rtol1e-05,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=heterogeneous_rho, uniform vs adaptive_embedded_rtol1e-05, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol1e-05_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5194805194805194,ratio_of_means,0.5194805194805194,0.5194805194805194,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__heterogeneous_rho__adaptive_halfstep_rtol1e-03,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=heterogeneous_rho, uniform vs adaptive_halfstep_rtol1e-03, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_halfstep_rtol1e-03_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.6854183356935029,ratio_of_means,0.6853323238513134,0.6855760801568322,BCa (paired ratio-of-means),1.3705862145072707e-07,0.25,-1559.5027622559285,
adaptive_stepping_cost_reduction__homogeneous_chain__adaptive_embedded_rtol0.0001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=homogeneous_chain, uniform vs adaptive_embedded_rtol0.0001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.0001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5194805194805194,ratio_of_means,0.5194805194805194,0.5194805194805194,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__homogeneous_chain__adaptive_embedded_rtol0.001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=homogeneous_chain, uniform vs adaptive_embedded_rtol0.001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5861756427992176,ratio_of_means,0.5861026001506038,0.5862126953118012,BCa (paired ratio-of-means),2.2674799285254374e-08,0.25,-3834.137111852604,
adaptive_stepping_cost_reduction__homogeneous_chain__adaptive_embedded_rtol0.01,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=homogeneous_chain, uniform vs adaptive_embedded_rtol0.01, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.01_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,1.0,ratio_of_means,1.0,1.0,percentile (paired ratio-of-means),nan,1.0,0.0,
adaptive_stepping_cost_reduction__homogeneous_chain__adaptive_embedded_rtol1e-05,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=homogeneous_chain, uniform vs adaptive_embedded_rtol1e-05, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol1e-05_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5194805194805194,ratio_of_means,0.5194805194805194,0.5194805194805194,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__homogeneous_chain__adaptive_halfstep_rtol1e-03,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=homogeneous_chain, uniform vs adaptive_halfstep_rtol1e-03, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_halfstep_rtol1e-03_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.7580955994456796,ratio_of_means,0.7578489683111757,0.7585694410041415,BCa (paired ratio-of-means),1.6757781688299791e-06,0.25,-445.995588142205,
adaptive_stepping_cost_reduction__reflection_active__adaptive_embedded_rtol0.0001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=reflection_active, uniform vs adaptive_embedded_rtol0.0001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.0001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5088495575221239,ratio_of_means,0.5088495575221239,0.5088495575221239,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__reflection_active__adaptive_embedded_rtol0.001,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=reflection_active, uniform vs adaptive_embedded_rtol0.001, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.001_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.6127184873512344,ratio_of_means,0.6126803660421803,0.6127388782215517,BCa (paired ratio-of-means),6.546897917614974e-09,0.25,-7135.4535918511165,
adaptive_stepping_cost_reduction__reflection_active__adaptive_embedded_rtol0.01,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=reflection_active, uniform vs adaptive_embedded_rtol0.01, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol0.01_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.8956807514712827,ratio_of_means,0.8956678362283987,0.8956925316329931,BCa (paired ratio-of-means),5.858173241768423e-09,0.25,-7543.245899322784,
adaptive_stepping_cost_reduction__reflection_active__adaptive_embedded_rtol1e-05,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=reflection_active, uniform vs adaptive_embedded_rtol1e-05, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_embedded_rtol1e-05_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.5088495575221239,ratio_of_means,0.5088495575221239,0.5088495575221239,percentile (paired ratio-of-means),0.0,0.25,-inf,
adaptive_stepping_cost_reduction__reflection_active__adaptive_halfstep_rtol1e-03,paired_ratio,"MLMC total cost to reach MSE<=eps^2 (Giles allocation), regime=reflection_active, uniform vs adaptive_halfstep_rtol1e-03, at the tightest epsilon=0.05 attainable by both on every shared seed (ratio=uniform_cost/adaptive_halfstep_rtol1e-03_cost, seed-paired, n=3); S1b.5 evidence file",results/adaptive_stepping_full/mlmc_cost_to_epsilon.csv,3,True,0.779725116438443,ratio_of_means,0.7796716636176259,0.77981655173213,BCa (paired ratio-of-means),7.693484039217157e-08,0.25,-2081.5067281255388,
ana_vs_baseline_speedup__ba_n500_eps0.005,paired_ratio,"ANA-MLMC vs Giles-baseline runtime speedup, BA n=500, eps=0.005 (ratio=baseline/ANA runtime, seed-paired, n=5 seeds [0, 1, 2, 3, 4])",results/ana_mlmc/ana_mlmc_results.csv,5,True,0.9525493839864979,ratio_of_means,0.9071595973691239,0.9988248744618472,BCa (paired ratio-of-means),0.1546328690196767,0.3125,-0.7835718977264229,
ana_vs_baseline_speedup__ba_n500_eps0.01,paired_ratio,"ANA-MLMC vs Giles-baseline runtime speedup, BA n=500, eps=0.01 (ratio=baseline/ANA runtime, seed-paired, n=5 seeds [0, 1, 2, 3, 4])",results/ana_mlmc/ana_mlmc_results.csv,5,True,0.9253272350185388,ratio_of_means,0.7897036218926894,0.9939258073512547,BCa (paired ratio-of-means),0.2707569215782328,0.3125,-0.5710030859359344,
ana_vs_baseline_speedup__ba_n500_eps0.02,paired_ratio,"ANA-MLMC vs Giles-baseline runtime speedup, BA n=500, eps=0.02 (ratio=baseline/ANA runtime, seed-paired, n=5 seeds [0, 1, 2, 3, 4])",results/ana_mlmc/ana_mlmc_results.csv,5,True,1.0760727213712338,ratio_of_means,0.9987724499061671,1.2890947413535592,BCa (paired ratio-of-means),0.3338513138001081,0.8125,0.4910496037430592,
ana_vs_baseline_speedup__ba_n500_eps0.05,paired_ratio,"ANA-MLMC vs Giles-baseline runtime speedup, BA n=500, eps=0.05 (ratio=baseline/ANA runtime, seed-paired, n=5 seeds [0, 1, 2, 3, 4])",results/ana_mlmc/ana_mlmc_results.csv,5,True,1.198189945234211,ratio_of_means,0.8782395480003835,1.6376121274017088,BCa (paired ratio-of-means),0.5218617523261481,0.8125,0.3135579267638582,
ana_vs_baseline_speedup__pooled_all_conditions,paired_ratio,"ANA-MLMC vs Giles-baseline runtime speedup, POOLED across every network/n_nodes/epsilon cell (heterogeneous conditions -- kept only for continuity with the pre-extension significance_tests.json; the per-condition claims above are the statistically appropriate ones)",results/ana_mlmc/ana_mlmc_results.csv,20,False,1.0463689256544113,ratio_of_means,0.9489648514658824,1.285525644000406,BCa (paired ratio-of-means),0.5907957572429059,0.34881019592285156,0.12229645601464899,
ana_weight_sweep_cost_reduction__balanced_mix,paired_ratio,"ANA weight config 'balanced_mix' vs baseline_giles: total-cost reduction factor (ratio=baseline_cost/config_cost, seed-paired, n=3)",results/ana_weight_sweep/weight_sweep.csv,3,True,0.7677067855373948,ratio_of_means,0.7650542941757157,0.7719123505976095,BCa (paired ratio-of-means),0.0001681692066804997,0.25,-44.515510000792204,
ana_weight_sweep_cost_reduction__centrality_only,paired_ratio,"ANA weight config 'centrality_only' vs baseline_giles: total-cost reduction factor (ratio=baseline_cost/config_cost, seed-paired, n=3)",results/ana_weight_sweep/weight_sweep.csv,3,True,0.7708885941644563,ratio_of_means,0.7688492063492064,0.7742257742257742,BCa (paired ratio-of-means),0.00010260609025561428,0.25,-56.99271943000448,
ana_weight_sweep_cost_reduction__default_mix,paired_ratio,"ANA weight config 'default_mix' vs baseline_giles: total-cost reduction factor (ratio=baseline_cost/config_cost, seed-paired, n=3)",results/ana_weight_sweep/weight_sweep.csv,3,True,0.7673267326732673,ratio_of_means,0.7646768623581648,0.7715281234444997,BCa (paired ratio-of-means),0.0001674545338740206,0.25,-44.61042580036745,
ana_weight_sweep_cost_reduction__sla_only,paired_ratio,"ANA weight config 'sla_only' vs baseline_giles: total-cost reduction factor (ratio=baseline_cost/config_cost, seed-paired, n=3)",results/ana_weight_sweep/weight_sweep.csv,3,True,0.7705053852526926,ratio_of_means,0.7665677546983185,0.7746126936531734,BCa (paired ratio-of-means),0.0001725107069800635,0.25,-43.95164650629484,
ana_weight_sweep_cost_reduction__variance_only,paired_ratio,"ANA weight config 'variance_only' vs baseline_giles: total-cost reduction factor (ratio=baseline_cost/config_cost, seed-paired, n=3)",results/ana_weight_sweep/weight_sweep.csv,3,True,0.7621701360432717,ratio_of_means,0.7579462102689487,0.7669470559129143,BCa (paired ratio-of-means),0.00020702213601830137,0.25,-40.12024167485696,
